"FACILITY/SITE ID","FACILITY/SITE NAME","FACILITY/SITE ADDRESS","CITY","COUNTY","DISTRICT","DOCUMENT DATE","DATE RECEIVED","DOCUMENT TYPE","SUBJECT","PERMIT NUMBER","FILE TYPE","FILE SIZE","FILE PATH"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","12-22-1997","12-22-1997","PLAN RELATED","PLAN SUFFICIENT","",".pdf","1.6 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.80391.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","12-04-1997","12-04-1997","PLAN RELATED","2ND SUBMITTAL OVERSIZE","",".pdf","7.2 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.80446.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","12-04-1997","12-04-1997","PLAN RELATED","2ND SUBMITTAL","",".pdf","7.1 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.80392.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","11-18-1997","11-18-1997","PERMIT APPLICATION RELATED","ACKNOWLEDGE USE 62-25.801 GENERAL PERMIT","",".pdf","938.1 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.23103.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","11-18-1997","11-18-1997","PERMIT APPLICATION RELATED","ACKNOWLEDGE USE 62-25.801 GENERAL PERMIT","",".pdf","68.3 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.23100.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","10-22-1997","10-22-1997","PLAN RELATED","1ST REQUEST FOR ADDITIONAL INFORMATION","",".pdf","4.2 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.80393.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","10-20-1997","10-20-1997","PERMIT APPLICATION RELATED","62-25.801 GENERAL PERMIT SITE PLANS","",".pdf","1.2 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.23102.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","10-20-1997","10-20-1997","PERMIT APPLICATION RELATED","62-25.801 GENERAL PERMIT SITE PLANS","",".pdf","1.4 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.23101.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","10-17-1997","10-17-1997","PLAN RELATED","2ND SUBMITTAL OVERSIZE","",".pdf","22.1 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.80445.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","10-16-1997","10-17-1997","PLAN RELATED","NEW RECLAMATION PLAN","",".pdf","13.8 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.80395.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","10-16-1997","10-17-1997","PLAN RELATED","CORRESPONDENCE","",".pdf","4.0 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.80394.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","10-17-1995","10-17-1995","PERMIT APPLICATION RELATED","62-25.801 GENERAL PERMIT RULES","",".pdf","12.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.23105.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","08-10-1988","08-10-1988","PLAN RELATED","NOTICE OF EXISTING MINE","","","SUPP","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.19674.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","01-16-1973","01-16-1973","PERMIT APPLICATION RELATED","SITE AERIAL JAN 16, 1973","",".jp2","4.5 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.23107.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","11-06-1967","11-06-1967","PERMIT APPLICATION RELATED","SITE AERIAL NOV 6, 1967","",".jp2","3.5 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.23108.1"
