"FACILITY/SITE ID","FACILITY/SITE NAME","FACILITY/SITE ADDRESS","CITY","COUNTY","DISTRICT","DOCUMENT DATE","DATE RECEIVED","DOCUMENT TYPE","SUBJECT","PERMIT NUMBER","FILE TYPE","FILE SIZE","FILE PATH"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","07-01-2022","08-17-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 JUL MO PART A (695745) D-001 D-002","",".pdf","53.9 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1118238.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","07-01-2022","08-17-2022","DISCHARGE MONITORING REPORTS RELATED","DMR (R) 2022 JUL MO PART A (736843) D-001 D-002","",".pdf","52.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183243.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","06-01-2022","07-12-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 JUN MO PART B (736842)","",".xlsx","13.1 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183240.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","06-01-2022","07-12-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 JUN MO PART B (695744)","",".xlsx","13.1 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1107641.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","06-01-2022","07-12-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 JUN MO PART A (695744) D-001 D-002","",".pdf","54.1 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1107640.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","06-01-2022","07-12-2022","DISCHARGE MONITORING REPORTS RELATED","DMR (R) 2022 JUN MO PART A (736842) D-001 D-002","",".pdf","52.9 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183241.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","05-01-2022","06-28-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 MAY MO PART B (736841)","",".xlsx","13.1 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183236.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","05-01-2022","06-28-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 MAY MO PART B (695743)","",".xlsx","13.1 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1104174.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","05-01-2022","06-28-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 MAY MO PART A (695743) D-001 D-002","",".pdf","54.1 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1104175.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","05-01-2022","06-28-2022","DISCHARGE MONITORING REPORTS RELATED","DMR (R) 2022 MAY MO PART A (736841) D-001 D-002","",".pdf","52.9 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183237.1"
